Return,PFBCOLOM,GRUPOSURA,ECOPETROL,NUTRESA,GRUPOARGOS,BCOLOMBIA,CEMARGOS,ISA,PFGRUPSURA,EEB,PFGRUPOARG,EXITO,BOGOTA,PFCEMARGOS,CELSIA,RENTA LIQUIDEZ,RENTA BALANCEADO,RENTA ACCIONES,RENTA VARIABLE COLOMBIA,RENTA BALANCEADO GLOBAL,iCOLCAP,RENTA ALTA CONVICCION
0.11832000,0,0.0020235,0.02482,0,0.028966,0,0.030042,0,0,0,0,0.041941,0.023411,0,0,0.061936,0,0,0,0.36312,0.22225,0.20149
0.11944000,0,0.0024148,0.029866,0,0.034828,0,0,0,0,0,0,0.061305,0.028023,0,0,0.035905,0,0,0,0.38932,0.16192,0.25642
0.12038000,0,0.0024504,0.030324,0,0.035361,0,0,0,0,0,0,0.062248,0.028442,0,0,0.021086,0,0,0,0.39531,0.16441,0.26036
0.12161000,0,0.0024859,0.030783,0,0.035894,0,0.012316,0,0,0,0,0.017598,0.028862,0,0,0.0062673,0,0,0,0.38585,0.17775,0.3022
0.12232000,0,0.0021658,0.026655,0,0.031098,0,0.032261,0,0,0,0,0.032081,0.025088,0,0,0,0,0,0,0.38582,0.23968,0.22516
0.12335000,0,0.0035384,0.035437,0,0.058573,0,0.03805,0,0,0,0,0.035748,0.019892,0,0,0,0,0,0,0.39469,0.19877,0.2153
0.12435000,0,0.010074,0.059361,0,0.036229,0,0.044106,0,0,0,0,0.030595,0,0,0,0,0,0,0,0.4,0.21819,0.20145
0.12548000,0,0.012526,0.11661,0,0.023714,0,0.046877,0,0,0,0,0.024289,0,0,0,0,0,0,0,0.39903,0.11833,0.25862
0.12653000,0,0.014979,0.10897,0,0.069084,0,0.049648,0,0,0,0,0.017983,0,0,0,0,0,0,0,0.39481,0.13673,0.2078
0.12762000,0,0.014979,0.11847,0,0.11675,0,0.049648,0,0,0,0,0.017983,0,0,0,0,0,0,0,0.39951,0.023743,0.25893
0.12855000,0,0.021497,0.14551,0,0.11145,0,0.067125,0,0,0,0,0,0,0,0,0,0,0,0,0.39099,0,0.26342
0.12930000,0,0.014979,0.14239,0,0.14095,0,0.049648,0,0,0,0,0.017983,0,0,0,0,0,0,0,0.3707,0.096281,0.16707
0.13036000,0,0.022206,0.18008,0,0.098289,0,0.10922,0,0,0,0,0,0,0,0,0,0,0,0,0.2966,0.03518,0.25842
0.13142000,0,0.008321,0.1772,0,0.15155,0,0.13659,0,0,0,0,0,0,0,0,0,0,0,0,0.34486,0,0.18148
0.13230000,0,0.019883,0.19574,0,0.18626,0,0.05519,0,0,0,0,0.0053704,0,0,0,0,0,0,0,0.27938,0,0.25818
0.13331000,0,0.021497,0.19445,0,0.18937,0,0.11301,0,0,0,0,0,0,0,0,0,0,0,0,0.23432,0,0.24736
0.13507000,0,0.008321,0.19527,0,0.19954,0,0.19911,0,0,0,0,0,0,0,0,0,0,0,0,0.12175,0,0.27601
