Return,PFBCOLOM,GRUPOSURA,ECOPETROL,NUTRESA,GRUPOARGOS,BCOLOMBIA,CEMARGOS,ISA,PFGRUPSURA,EEB,PFGRUPOARG,EXITO,BOGOTA,PFCEMARGOS,CELSIA,RENTA LIQUIDEZ,RENTA ACCIONES,RENTA VARIABLE COLOMBIA,iCOLCAP
0.1047,0.034995247,0.009069313,0.044378713,0,0.074344733,0.001958457,0.057537135,0,0,0,0,0.027277906,0.046386784,0,0,0.331069349,0,0,0.372982363
0.1054,0.024345747,0.006481133,0.0164147,0,0.065056032,0.001627057,0.141625693,0,0,0,0,0.019091548,0.033088454,0,0,0.326859455,0,0,0.365410179
0.1078,0.034995247,0.009069313,0.097697037,0,0.072958881,0.001958457,0.091445522,0,0,0,0,0.027277906,0.046386784,0,0,0.310104703,0,0,0.30810615
0.1087,0.03347389,0.008699573,0.083377062,0,0.053686931,0.001911114,0.101728064,0,0,0,0,0.026108427,0.044487023,0,0,0.286873799,0,0,0.359654118
0.1094,0.034234568,0.008884443,0.119062576,0,0.067839936,0.001934785,0.183015161,0,0,0,0,0.026693166,0.045436903,0,0,0.305715265,0,0,0.207183196
0.1107,0.049448139,0.012581842,0.133307874,0,0.059187394,0.002408213,0.135404914,0,0,0,0,0.038387964,0.064434518,0,0,0.271564021,0,0,0.233275122
0.1118,0.034234568,0.008884443,0.063164024,0,0.092823558,0.001934785,0.09725139,0,0,0,0,0.026693166,0.045436903,0,0,0.244409393,0,0,0.385167769
0.1125,0.050208817,0.012766712,0.099337848,0,0.01840961,0.002431884,0.179772229,0,0,0,0,0.038972704,0.065384398,0,0,0.222919223,0,0,0.309796574
0.1134,0.049448139,0.012581842,0.09141323,0,0.03511598,0.002408213,0.146830566,0,0,0,0,0.038387964,0.064434518,0,0,0.208226869,0,0,0.351152681
0.1148,0.049448139,0.012581842,0.142425508,0,0.03531414,0.002408213,0.132539458,0,0,0,0,0.038387964,0.064434518,0,0,0.205414454,0,0,0.317045765
0.1157,0.04868746,0.012396972,0.112646563,0,0.064184195,0.002384542,0.173152887,0,0,0,0,0.037803224,0.063484637,0,0,0.196018561,0,0,0.28924096
0.1164,0.050208817,0.012766712,0.054139194,0,0.087227594,0.002431884,0.170570377,0,0,0,0,0.038972704,0.065384398,0,0,0.168420001,0,0,0.349878318
0.1174,0.049448139,0.012581842,0.112308878,0,0.063991788,0.002408213,0.195430949,0,0,0,0,0.038387964,0.064434518,0,0,0.17263382,0,0,0.288373891
0.1186,0.049448139,0.012581842,0.068100314,0,0.091810742,0.002408213,0.153149669,0,0,0,0,0.038387964,0.064434518,0,0,0.141115657,0,0,0.378562943
0.1197,0.050969496,0.012951582,0.061558315,0,0.052460043,0.002455556,0.16771998,0,0,0,0,0.039557444,0.155982869,0,0,0.061212259,0,0,0.395132457
0.1205,0.051730174,0.013136452,0.115439415,0,0,0.002479227,0.199749752,0,0,0,0,0.040142184,0.173236038,0,0,0.047617787,0,0,0.356468971
0.1221,0.050969496,0.012951582,0.171816536,0,0.035966655,0.002455556,0.113963056,0,0,0,0,0.039557444,0.146539533,0,0,0.061212259,0,0,0.364567882
0.1225,0.034234568,0.008884443,0.178037766,0,0.094894294,0.001934785,0.185396028,0,0,0,0,0.026693166,0.045436903,0,0,0.142638241,0,0,0.281849806
0.1234,0.05401221,0.013691061,0.057450545,0,0.092562752,0.002550241,0.181003083,0,0,0,0,0.041896404,0.178721182,0,0,0.00683437,0,0,0.371278152
0.1248,0.053251531,0.013506191,0.179268359,0,0.037526558,0.00252657,0.118905726,0,0,0,0,0.041311664,0.152895072,0,0,0.020428843,0,0,0.380379487
0.1257,0.04868746,0.012396972,0.180207094,0,0.035495308,0.002384542,0.15944451,0,0,0,0,0.037803224,0.063484637,0,0,0.061973559,0,0,0.398122695
0.1265,0.051730174,0.013136452,0.093150832,0,0.143175413,0.002479227,0.155385076,0,0,0,0,0.040142184,0.069094322,0,0,0.047617787,0,0,0.384088533
0.1284,0.053251531,0.013506191,0.095805801,0,0.147256173,0.00252657,0.159813834,0,0,0,0,0.041311664,0.071063636,0,0,0.020428843,0,0,0.395035757
0.1294,0.052490853,0.013321322,0.193420915,0,0.107278939,0.002502898,0.135252052,0,0,0,0,0.040726924,0.059140848,0,0,0.034023315,0,0,0.361841936
0.1304,0.053251531,0.013506191,0.196138609,0,0.10878628,0.00252657,0.137152435,0,0,0,0,0.041311664,0.059971816,0,0,0.020428843,0,0,0.366926061
0.1314,0.05401221,0.013691061,0.198856304,0,0.110293622,0.002550241,0.139052817,0,0,0,0,0.041896404,0.060802785,0,0,0.00683437,0,0,0.372010185
0.1324,0.043362711,0.011102882,0.165726068,0,0.161371893,0.002218842,0.142213158,0,0,0,0,0.033710045,0.056835472,0,0,0,0,0,0.383458929
0.1334,0.114923999,0.019175155,0.18400478,0,0.154929225,0,0.153312512,0,0,0,0,0.038538296,0.033596943,0,0,0,0,0,0.30151909
0.1354,0.017516296,0.146962363,0.199631697,0,0.095965458,0,0.151832806,0,0,0,0,0.010899975,0,0,0,0,0,0,0.377191405
0.1368,0,0.083028196,0.168267726,0,0.195913368,0,0.197471746,0,0,0,0,0,0,0,0,0,0,0,0.355318963
